mutation_rate,crossover_rate,n_hidden_neurons,number_of_crossovers,n_elitism,k_tournament,k_tournament_final_linear_increase_factor,Average Performance
0.07986069693792121,0.9317683828391756,7.433981157586631,8.140620325298263,15.571184459908059,17.08231140364137,2.9292823998498454,90.21122857735986
0.18851541173466962,0.5145760014005824,16.229254025304115,6.714286483812143,9.479812804501629,11.881791680875544,4.452945494444259,87.83218891570847
0.15348973327615625,0.5497368819607027,12.744377344154296,5.725150894920362,1.3867075747577258,15.389761315036221,4.142937584914634,88.04526492906632
0.01344108765232381,0.8431313810090875,5.956037951024474,8.699722303134862,8.123069963637043,7.966743046016875,3.833409449166698,84.48081228314992
0.1739394153090167,0.3283159407265547,18.073086259001748,2.0568886286796255,16.63979100709117,2.6928540146551967,3.3600156343185428,87.67250780019359
0.1296946963105166,0.6000466265979298,14.393849190799866,3.5560187744756018,19.289589197767846,6.2312982828785595,2.1825367094666315,88.53560783657979
0.10617685586131242,0.6950577487637362,8.993198488591222,3.7906529981960757,3.922098048741293,4.747806934974437,2.4603503553235098,88.0794128457636
0.10293727196468132,0.7850544664071404,5.132152091896478,9.53459236086719,13.180188651442771,12.860168287512295,4.730691242765678,87.91279988465581
0.05491432287988769,0.2207075477820355,11.554080409345172,7.010442053087347,5.499311062003361,18.26272629522565,2.736064238060564,89.44869397378959
0.046074183946678275,0.43650623574785136,19.34274140452598,5.0889634363348835,12.35247104167423,9.405342037516572,3.783696371373356,89.41299771556302
0.1064634282034722,0.530011020100051,11,6,11,11,3,88.91080233559094
0.10529749236750086,0.6398880182216353,18,6,7,10,3,88.87825482144176
0.07076578222378194,0.7401513901613668,10,9,8,18,4,89.0578440697709
0.11567443239634989,0.5003346155343043,18,3,12,6,3,88.44403799698136
0.06636356792114942,0.3386668582913266,16,7,4,15,3,88.28241248332327
0.09711873863902802,0.9098867822960308,9,7,9,11,3,88.7597770526456
0.037815250043766103,0.6493479050018746,13,8,15,15,3,88.97439003559903
0.08072901752276483,0.5117860319859445,9,6,4,16,2,89.04341796693151
0.12470582411677343,0.4518336447214641,20,5,17,7,4,88.64552997022606
0.0714201867930047,0.8794922007019976,6,9,14,17,4,89.43196769260719
